"state","category","raw_cell","abbr","multi_rate","wage_low","wage_high","wage","effective_date","cost_index","cost_period","adjusted_low","adjusted_high","adjusted"
"Alabama","no_or_lower_state_floor","AL","AL",FALSE,7.25,7.25,7.25,"July 1, 2026",86,"Second Quarter 2026",8.43023255813953,8.43023255813953,8.43023255813953
"Alaska","above_federal","AK $14.00","AK",FALSE,14,14,14,"July 1, 2026",124.5,"Second Quarter 2026",11.2449799196787,11.2449799196787,11.2449799196787
"Arizona","above_federal","AZ $15.15","AZ",FALSE,15.15,15.15,15.15,"July 1, 2026",108.6,"Second Quarter 2026",13.9502762430939,13.9502762430939,13.9502762430939
"Arkansas","above_federal","AR $11.00","AR",FALSE,11,11,11,"July 1, 2026",89,"Second Quarter 2026",12.3595505617978,12.3595505617978,12.3595505617978
"California","above_federal","CA $16.90","CA",FALSE,16.9,16.9,16.9,"July 1, 2026",140.3,"Second Quarter 2026",12.0456165359943,12.0456165359943,12.0456165359943
"Colorado","above_federal","CO $15.16","CO",FALSE,15.16,15.16,15.16,"July 1, 2026",102.7,"Second Quarter 2026",14.761441090555,14.761441090555,14.761441090555
"Connecticut","above_federal","CT $16.94","CT",FALSE,16.94,16.94,16.94,"July 1, 2026",103.6,"Second Quarter 2026",16.3513513513514,16.3513513513514,16.3513513513514
"Delaware","above_federal","DE $15.00","DE",FALSE,15,15,15,"July 1, 2026",100.6,"Second Quarter 2026",14.9105367793241,14.9105367793241,14.9105367793241
"District of Columbia","above_federal","DC $18.40","DC",FALSE,18.4,18.4,18.4,"July 1, 2026",133.8,"Second Quarter 2026",13.7518684603886,13.7518684603886,13.7518684603886
"Florida","above_federal","FL $14.00","FL",FALSE,14,14,14,"July 1, 2026",100.8,"Second Quarter 2026",13.8888888888889,13.8888888888889,13.8888888888889
"Georgia","no_or_lower_state_floor","GA","GA",FALSE,7.25,7.25,7.25,"July 1, 2026",90.1,"Second Quarter 2026",8.04661487236404,8.04661487236404,8.04661487236404
"Hawaii","above_federal","HI $16.00","HI",FALSE,16,16,16,"July 1, 2026",185.8,"Second Quarter 2026",8.61141011840689,8.61141011840689,8.61141011840689
"Idaho","equal_federal","ID","ID",FALSE,7.25,7.25,7.25,"July 1, 2026",99.4,"Second Quarter 2026",7.29376257545272,7.29376257545272,7.29376257545272
"Illinois","above_federal","IL $15.00","IL",FALSE,15,15,15,"July 1, 2026",94.5,"Second Quarter 2026",15.8730158730159,15.8730158730159,15.8730158730159
"Indiana","equal_federal","IN","IN",FALSE,7.25,7.25,7.25,"July 1, 2026",89.7,"Second Quarter 2026",8.082497212932,8.082497212932,8.082497212932
"Iowa","equal_federal","IA","IA",FALSE,7.25,7.25,7.25,"July 1, 2026",86.1,"Second Quarter 2026",8.42044134727062,8.42044134727062,8.42044134727062
"Kansas","equal_federal","KS","KS",FALSE,7.25,7.25,7.25,"July 1, 2026",87.1,"Second Quarter 2026",8.32376578645235,8.32376578645235,8.32376578645235
"Kentucky","equal_federal","KY","KY",FALSE,7.25,7.25,7.25,"July 1, 2026",94,"Second Quarter 2026",7.71276595744681,7.71276595744681,7.71276595744681
"Louisiana","no_or_lower_state_floor","LA","LA",FALSE,7.25,7.25,7.25,"July 1, 2026",91.3,"Second Quarter 2026",7.9408543263965,7.9408543263965,7.9408543263965
"Maine","above_federal","ME $15.10","ME",FALSE,15.1,15.1,15.1,"July 1, 2026",112.9,"Second Quarter 2026",13.3746678476528,13.3746678476528,13.3746678476528
"Maryland","above_federal","MD $15.00","MD",FALSE,15,15,15,"July 1, 2026",118.8,"Second Quarter 2026",12.6262626262626,12.6262626262626,12.6262626262626
"Massachusetts","above_federal","MA $15.00","MA",FALSE,15,15,15,"July 1, 2026",148.1,"Second Quarter 2026",10.1282916948008,10.1282916948008,10.1282916948008
"Michigan","above_federal","MI $13.73","MI",FALSE,13.73,13.73,13.73,"July 1, 2026",92.1,"Second Quarter 2026",14.9077090119435,14.9077090119435,14.9077090119435
"Minnesota","above_federal","MN $11.41","MN",FALSE,11.41,11.41,11.41,"July 1, 2026",93.4,"Second Quarter 2026",12.2162740899358,12.2162740899358,12.2162740899358
"Mississippi","no_or_lower_state_floor","MS","MS",FALSE,7.25,7.25,7.25,"July 1, 2026",87.4,"Second Quarter 2026",8.29519450800915,8.29519450800915,8.29519450800915
"Missouri","above_federal","MO $15.00","MO",FALSE,15,15,15,"July 1, 2026",88.2,"Second Quarter 2026",17.0068027210884,17.0068027210884,17.0068027210884
"Montana","above_federal","MT $10.85","MT",FALSE,10.85,10.85,10.85,"July 1, 2026",106,"Second Quarter 2026",10.2358490566038,10.2358490566038,10.2358490566038
"Nebraska","above_federal","NE $15.00","NE",FALSE,15,15,15,"July 1, 2026",90.1,"Second Quarter 2026",16.6481687014428,16.6481687014428,16.6481687014428
"Nevada","above_federal","NV $12.00","NV",FALSE,12,12,12,"July 1, 2026",105.4,"Second Quarter 2026",11.3851992409867,11.3851992409867,11.3851992409867
"New Hampshire","equal_federal","NH","NH",FALSE,7.25,7.25,7.25,"July 1, 2026",108.5,"Second Quarter 2026",6.68202764976959,6.68202764976959,6.68202764976959
"New Jersey","above_federal","NJ $15.92 or $15.23","NJ",TRUE,15.23,15.92,,"July 1, 2026",119.2,"Second Quarter 2026",12.7768456375839,13.3557046979866,
"New Mexico","above_federal","NM $12.00","NM",FALSE,12,12,12,"July 1, 2026",90.2,"Second Quarter 2026",13.3037694013304,13.3037694013304,13.3037694013304
"New York","above_federal","NY $17.00 or $16.00","NY",TRUE,16,17,,"July 1, 2026",132.6,"Second Quarter 2026",12.0663650075415,12.8205128205128,
"North Carolina","equal_federal","NC","NC",FALSE,7.25,7.25,7.25,"July 1, 2026",96.7,"Second Quarter 2026",7.49741468459152,7.49741468459152,7.49741468459152
"North Dakota","equal_federal","ND","ND",FALSE,7.25,7.25,7.25,"July 1, 2026",90.5,"Second Quarter 2026",8.01104972375691,8.01104972375691,8.01104972375691
"Ohio","above_federal","OH $11.00 or $7.25","OH",TRUE,7.25,11,,"July 1, 2026",93,"Second Quarter 2026",7.79569892473118,11.8279569892473,
"Oklahoma","equal_federal","OK","OK",FALSE,7.25,7.25,7.25,"July 1, 2026",83,"Second Quarter 2026",8.73493975903614,8.73493975903614,8.73493975903614
"Oregon","above_federal","OR $16.80 or $15.55 or $14.55","OR",TRUE,14.55,16.8,,"July 1, 2026",110.4,"Second Quarter 2026",13.179347826087,15.2173913043478,
"Pennsylvania","equal_federal","PA","PA",FALSE,7.25,7.25,7.25,"July 1, 2026",95.3,"Second Quarter 2026",7.60755508919203,7.60755508919203,7.60755508919203
"Rhode Island","above_federal","RI $16.00","RI",FALSE,16,16,16,"July 1, 2026",110.9,"Second Quarter 2026",14.4274120829576,14.4274120829576,14.4274120829576
"South Carolina","no_or_lower_state_floor","SC","SC",FALSE,7.25,7.25,7.25,"July 1, 2026",92.7,"Second Quarter 2026",7.82092772384035,7.82092772384035,7.82092772384035
"South Dakota","above_federal","SD $11.85","SD",FALSE,11.85,11.85,11.85,"July 1, 2026",93.5,"Second Quarter 2026",12.6737967914438,12.6737967914438,12.6737967914438
"Tennessee","no_or_lower_state_floor","TN","TN",FALSE,7.25,7.25,7.25,"July 1, 2026",89.7,"Second Quarter 2026",8.082497212932,8.082497212932,8.082497212932
"Texas","equal_federal","TX","TX",FALSE,7.25,7.25,7.25,"July 1, 2026",90.8,"Second Quarter 2026",7.98458149779736,7.98458149779736,7.98458149779736
"Utah","equal_federal","UT","UT",FALSE,7.25,7.25,7.25,"July 1, 2026",98.4,"Second Quarter 2026",7.36788617886179,7.36788617886179,7.36788617886179
"Vermont","above_federal","VT $14.42","VT",FALSE,14.42,14.42,14.42,"July 1, 2026",113.4,"Second Quarter 2026",12.716049382716,12.716049382716,12.716049382716
"Virginia","above_federal","VA $12.77","VA",FALSE,12.77,12.77,12.77,"July 1, 2026",99,"Second Quarter 2026",12.8989898989899,12.8989898989899,12.8989898989899
"Washington","above_federal","WA $17.13","WA",FALSE,17.13,17.13,17.13,"July 1, 2026",115.1,"Second Quarter 2026",14.8827106863597,14.8827106863597,14.8827106863597
"West Virginia","above_federal","WV $8.75","WV",FALSE,8.75,8.75,8.75,"July 1, 2026",87,"Second Quarter 2026",10.0574712643678,10.0574712643678,10.0574712643678
"Wisconsin","equal_federal","WI","WI",FALSE,7.25,7.25,7.25,"July 1, 2026",95.7,"Second Quarter 2026",7.57575757575758,7.57575757575758,7.57575757575758
"Wyoming","no_or_lower_state_floor","WY","WY",FALSE,7.25,7.25,7.25,"July 1, 2026",94.4,"Second Quarter 2026",7.68008474576271,7.68008474576271,7.68008474576271
